time_stamp_sec,position_x,position_y,heading_angle,velocity_x,velocity_y,omega,duty_cycle,delta,erpm
1704705401.087509,0.7559189796447754,1.5719835758209229,4.788858795160746,-92.48796797997595,-51.78533621192761,0.005896954786126365,0.0,0.0,0.0
1704705401.1120825,0.7579075694084167,1.5537171363830566,4.7884807030307215,-86.9882311150062,-48.97733915723349,0.0022240269070516335,0.0,0.0,0.0
1704705401.1288557,0.7592893838882446,1.5414336919784546,4.787291193003154,-87.25189691399302,-49.52908099508299,-0.010443395423478757,0.0,0.0,0.0
1704705401.145546,0.7606915235519409,1.5287126302719116,4.786623303090231,-87.3994996868994,-50.01300797769605,-0.015562030909523891,0.0,0.0,0.0
1704705401.1626759,0.7620617747306824,1.5158140659332275,4.786189142857687,-86.90972824299948,-50.12271018266793,-0.017230671657045386,0.0,0.0,0.0
1704705401.1873941,0.7640125155448914,1.496345043182373,4.785834455484843,-82.00974218180141,-47.60252012024017,-0.016751451403463527,0.0,0.0,0.0
1704705401.2042406,0.7653011083602905,1.4830464124679565,4.785345856343405,-82.33333613184243,-48.25042898195952,-0.01883143229456052,0.0,0.0,0.0
1704705401.2207394,0.7665910124778748,1.4696831703186035,4.784732762967245,-82.84067537240243,-49.00976100103615,-0.021980469375585822,0.0,0.0,0.0
1704705401.2453268,0.7685781717300415,1.449547290802002,4.783517305050985,-78.32675215726876,-46.66697625790847,-0.026739418684017382,0.0,0.0,0.0
1704705401.2625878,0.7700227499008179,1.4359492063522339,4.782928729052043,-78.77595931959917,-47.42384690538827,-0.028090604337772742,0.0,0.0,0.0
1704705401.2793255,0.7709063291549683,1.422379493713379,4.783831302319662,-79.05147252312815,-48.093489670790724,-0.01405328601773055,0.0,0.0,0.0
1704705401.2960792,0.772213339805603,1.4084045886993408,4.785721683496928,-79.26948107996864,-48.773522548676404,0.007823471438169386,0.0,0.0,0.0
1704705401.3208911,0.7739210724830627,1.3876887559890747,4.786064807568685,-74.80495085546885,-46.42634677727595,0.008857769573522953,0.0,0.0,0.0
1704705401.34581,0.775442898273468,1.3667503595352173,4.785352730745768,-70.99217226580893,-44.49283429515835,0.0023655862318226993,0.0,0.0,0.0
1704705401.3625126,0.7767214179039001,1.352581262588501,4.784547630940573,-72.03631301595237,-45.78324473370651,-0.006326480837706072,0.0,0.0,0.0
1704705401.3790576,0.7776657938957214,1.3383586406707764,4.785350267087118,-72.94037538680801,-46.99310898910277,0.00314615594089937,0.0,0.0,0.0
1704705401.39595,0.778765082359314,1.3241266012191772,4.785205666218893,-73.25474746776166,-47.79530387657778,0.0011257982325691674,0.0,0.0,0.0
1704705401.4122806,0.7801809310913086,1.3099079132080078,4.784859840069906,-73.80078403598858,-48.757861395836414,-0.002719707731689731,0.0,0.0,0.0
1704705401.4288812,0.7821388244628906,1.2954216003417969,4.784219765657878,-73.86540442281724,-49.386559193633424,-0.008883897728076346,0.0,0.0,0.0
1704705401.4456635,0.7833265066146851,1.2811583280563354,4.784623845413026,-73.67482158660317,-49.84760812239058,-0.0031921834043450205,0.0,0.0,0.0
1704705401.4629307,0.7844805717468262,1.2669180631637573,4.783780598635173,-73.1558421098889,-50.05946125038312,-0.011162011762971472,0.0,0.0,0.0
1704705401.4793878,0.7855269908905029,1.252433180809021,4.783096933359599,-73.03256045341884,-50.5529648764405,-0.016398774729648364,0.0,0.0,0.0
1704705401.4961503,0.7866300940513611,1.2380344867706299,4.7827221790896814,-72.78266409792452,-50.95748153687662,-0.017493982345636032,0.0,0.0,0.0
1704705401.5125535,0.7882452011108398,1.2234838008880615,4.78335422674288,-72.23869770796611,-51.17246632078883,-0.00794609271898672,0.0,0.0,0.0
1704705401.528823,0.7898138761520386,1.209037184715271,4.783282502487,-71.90524253195096,-51.55698864859565,-0.007331078596050991,0.0,0.0,0.0
1704705401.545746,0.7913432717323303,1.19454026222229,4.782590055460429,-71.09223940707577,-51.57254298968355,-0.013138075870811453,0.0,0.0,0.0
1704705401.5621505,0.7929022312164307,1.1798107624053955,4.7820285002337855,-70.61421797464796,-51.84953096441807,-0.016775822484369193,0.0,0.0,0.0
1704705401.579055,0.7939574718475342,1.1651413440704346,4.7812703291522425,-69.77550260167024,-51.837495088377665,-0.021651163130291976,0.0,0.0,0.0
1704705401.595919,0.7952098250389099,1.1505711078643799,4.781184577936625,-68.9324988483099,-51.829104393878026,-0.018791204629385813,0.0,0.0,0.0
1704705401.6126556,0.7965241074562073,1.1358277797698975,4.781299853319621,-68.1225320142451,-51.85902709601032,-0.01436001221009646,0.0,0.0,0.0
1704705401.6292768,0.7979614734649658,1.1211410760879517,4.780891203875041,-67.42507448747727,-51.98270747511559,-0.016131015458191875,0.0,0.0,0.0
1704705401.6462305,0.7993801236152649,1.1064132452011108,4.780141337707337,-66.58189212120891,-51.98207345772821,-0.02106052637806444,0.0,0.0,0.0
1704705401.6625073,0.8005530834197998,1.0916301012039185,4.779285335535502,-65.97711272678147,-52.1742291099122,-0.026427197593756377,0.0,0.0,0.0
1704705401.6790302,0.801514744758606,1.076812982559204,4.779794438674744,-65.23671912887981,-52.27063286271711,-0.016547963789626828,0.0,0.0,0.0
1704705401.695729,0.8028532266616821,1.0620182752609253,4.7800265391615,-64.390118992927,-52.28960461757743,-0.011284677716730637,0.0,0.0,0.0
